Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,849.849976,853.000000,838.049988,840.250000,840.250000,1979574
2022-02-24,830.599976,836.950012,815.000000,818.250000,818.250000,3679222
2022-02-25,820.500000,835.000000,817.049988,831.549988,831.549988,2098988
2022-02-28,821.000000,847.000000,821.000000,843.900024,843.900024,4123139
2022-03-02,844.349976,844.950012,815.700012,820.900024,820.900024,3807036
2022-03-03,832.799988,832.799988,817.000000,820.900024,820.900024,2657776
2022-03-04,816.299988,839.599976,809.349976,829.650024,829.650024,4082674
2022-03-07,818.000000,829.000000,809.099976,822.650024,822.650024,3065234
2022-03-08,826.200012,861.700012,826.200012,855.000000,855.000000,4864275
2022-03-09,863.400024,885.799988,860.000000,868.250000,868.250000,7276355
2022-03-10,869.900024,881.900024,866.599976,869.549988,869.549988,2899758
2022-03-11,872.000000,907.000000,869.049988,902.000000,902.000000,7194497
2022-03-14,901.950012,911.799988,889.950012,892.250000,892.250000,3861194
2022-03-15,893.700012,908.000000,881.349976,891.650024,891.650024,4039746
2022-03-16,900.000000,900.000000,880.450012,889.200012,889.200012,3134307
2022-03-17,892.200012,915.000000,892.200012,911.599976,911.599976,5484100
2022-03-21,912.500000,931.000000,911.299988,913.799988,913.799988,3878744
2022-03-22,913.799988,922.000000,902.500000,914.099976,914.099976,2174495
2022-03-23,918.000000,926.000000,895.799988,900.799988,900.799988,2578669
2022-03-24,886.000000,914.700012,885.500000,908.849976,908.849976,3141478
2022-03-25,911.849976,914.950012,896.299988,902.349976,902.349976,1571676
2022-03-28,908.900024,910.900024,899.299988,905.900024,905.900024,1545077
2022-03-29,908.049988,922.000000,901.099976,919.349976,919.349976,3177777
2022-03-30,922.000000,922.000000,908.400024,920.599976,920.599976,2084073
2022-03-31,920.599976,927.000000,910.799988,914.750000,914.750000,1901705
2022-04-01,914.000000,919.000000,904.099976,908.700012,908.700012,1184766
2022-04-04,908.000000,928.799988,902.599976,926.049988,926.049988,1876408
